"","MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS"
"1","10001","Chelsea/NoMad/West Chelsea","Manhattan",360,1527.82,23563.03,21,89.12,17.19,NA
"2","10002","Chinatown/Lower East Side","Manhattan",1038,1352.35,76755.41,145,188.91,23.64,NA
"3","10003","East Village/Gramercy/Greenwich Village","Manhattan",446,828.97,53801.62,32,59.48,14.15,NA
"4","10004","Financial District","Manhattan",31,849.17,3650.61,1,27.39,14.49,NA
"5","10005","Financial District","Manhattan",61,726.53,8396.11,2,23.82,12.42,NA
"6","10006","Financial District","Manhattan",24,694.09,3457.77,0,0,11.11,NA
"7","10007","TriBeCa","Manhattan",54,654.57,8249.73,3,36.36,10.34,NA
"8","10009","Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan",687,1169.4,58747.99,65,110.64,17.32,NA
"9","10010","Flatiron/Gramercy/Kips Bay","Manhattan",261,806.26,32371.86,20,61.78,11.11,NA
"10","10011","Chelsea","Manhattan",516,1042.41,49500.52,35,70.71,15.95,NA
"11","10012","Greenwich Village/SoHo","Manhattan",160,667.19,23981.2,8,33.36,13.47,NA
"12","10013","Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan",258,888.7,29031.09,20,68.89,15.44,NA
"13","10014","Hudson Square/Meatpacking District/West Village","Manhattan",295,950.29,31043.16,24,77.31,14.69,NA
"14","10016","Kips Bay/Murray Hill/NoMad","Manhattan",676,1287.02,52524.35,48,91.39,15.19,NA
"15","10017","East Midtown/Murray Hill","Manhattan",142,880.5,16127.22,5,31,12.63,NA
"16","10018","Hell's Kitchen/Midtown Manhattan","Manhattan",203,2129.79,9531.44,3,31.47,18.68,NA
"17","10019","Hell's Kitchen/Midtown Manhattan","Manhattan",591,1454.54,40631.45,43,105.83,17.36,NA
"18","10021","Lenox Hill/Upper East Side","Manhattan",551,1247.29,44175.61,61,138.09,14.82,NA
"19","10022","East Midtown","Manhattan",336,1107.64,30334.8,26,85.71,13.87,NA
"20","10023","Lincoln Square","Manhattan",555,920.78,60274.81,52,86.27,13.94,NA
"21","10024","Upper West Side","Manhattan",677,1180.72,57337.68,67,116.85,16.5,NA
"22","10025","Manhattan Valley/Morningside Heights/Upper West Side","Manhattan",1297,1404.69,92333.47,159,172.2,18.5,NA
"23","10026","Central Harlem (South)","Manhattan",629,1612.08,39018.03,37,94.83,22.3,NA
"24","10027","Central Harlem (South)/Morningside Heights/West Harlem","Manhattan",1013,1591.99,63631.04,101,158.73,24.01,NA
"25","10028","Upper East Side/Yorkville","Manhattan",462,939.88,49155.08,29,59,14.5,NA
"26","10029","East Harlem","Manhattan",1784,2262.77,78841.52,194,246.06,27.12,NA
"27","10030","Central Harlem (North)","Manhattan",491,1674.52,29321.91,48,163.7,24.6,NA
"28","10031","Hamilton Heights/West Harlem","Manhattan",1289,2128.58,60556.93,116,191.56,26.48,NA
"29","10032","Washington Heights (South)","Manhattan",1488,2419.8,61492.57,157,255.32,26.85,NA
"30","10033","Washington Heights (North)/Washington Heights (South)","Manhattan",1317,2224.27,59210.43,114,192.53,26.25,NA
"31","10034","Inwood/Washington Heights (North)","Manhattan",699,1622.8,43073.65,68,157.87,22.92,NA
"32","10035","East Harlem","Manhattan",933,2710.11,34426.65,112,325.33,27.09,NA
"33","10036","Hell's Kitchen/Midtown Manhattan","Manhattan",409,1560.4,26211.25,35,133.53,18.18,NA
"34","10037","Central Harlem (North)/East Harlem","Manhattan",535,2590.85,20649.62,65,314.78,21.7,NA
"35","10038","Chinatown/Financial District","Manhattan",248,1124.82,22047.96,27,122.46,18.69,NA
"36","10039","Central Harlem (North)/Washington Heights (South)","Manhattan",507,1916.28,26457.52,56,211.66,25.3,NA
"37","10040","Washington Heights (North)","Manhattan",1094,2441.51,44808.28,106,236.56,28.04,NA
"38","10044","Roosevelt Island","Manhattan",233,1991.4,11700.29,33,282.04,25.44,NA
"39","10065","Lenox Hill/Upper East Side","Manhattan",326,1121.76,29061.49,26,89.47,13.15,NA
"40","10069","Lincoln Square","Manhattan",54,851.99,6338.13,2,31.56,13.95,NA
"41","10075","Lenox Hill/Upper East Side","Manhattan",418,1768.63,23634.14,45,190.4,18.64,NA
"42","10128","Upper East Side/Yorkville","Manhattan",627,1021.97,61351.93,36,58.68,14.49,NA
"43","10280","Battery Park City","Manhattan",50,519.82,9618.7,0,0,11.68,NA
"44","10282","Battery Park City","Manhattan",70,1269.16,5515.44,15,271.96,22.01,NA
"45","10301","Silver Lake/St. George","Staten Island",1166,2943.44,39613.55,99,249.91,27.92,NA
"46","10302","Elm Park","Staten Island",631,3361.03,18773.99,31,165.12,33.96,NA
"47","10303","Graniteville/Mariner's Harbor/Port Ivory","Staten Island",853,3251.8,26231.66,41,156.3,31.25,NA
"48","10304","New Dorp/Todt Hill","Staten Island",1371,3229.78,42448.71,163,383.99,30.03,NA
"49","10305","Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island",1221,2868.82,42560.99,74,173.87,28.5,NA
"50","10306","Lighthouse Hill/Midland Beach/New Dorp/Oakwood","Staten Island",1428,2659.93,53685.66,74,137.84,25.76,NA
"51","10307","Tottenville","Staten Island",374,2458.17,15214.56,14,92.02,27.77,NA
"52","10308","Great Kills","Staten Island",628,2119.09,29635.33,25,84.36,25.06,NA
"53","10309","Charleston/Prince's Bay/Woodrow","Staten Island",831,2517.8,33004.98,30,90.9,26.27,NA
"54","10310","Port Richmond/Randall Manor/West Brighton","Staten Island",715,2995.27,23870.96,32,134.05,27.25,NA
"55","10312","Annadale/Rossville","Staten Island",1483,2459.19,60304.33,58,96.18,26.53,NA
"56","10314","Bloomfield/Freshkills Park","Staten Island",2603,2865.66,90834.29,181,199.26,28.67,NA
