"MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","COVID_CASE_RATE"
"10001","Chelsea/NoMad/West Chelsea","Manhattan",1699.7
"10002","Chinatown/Lower East Side","Manhattan",1545.82
"10003","East Village/Gramercy/Greenwich Village","Manhattan",918.185
"10004","Financial District","Manhattan",972.44
"10005","Financial District","Manhattan",929.005
"10006","Financial District","Manhattan",954.375
"10007","TriBeCa","Manhattan",769.725
"10009","Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan",1297.915
"10010","Flatiron/Gramercy/Kips Bay","Manhattan",931.365
"10011","Chelsea","Manhattan",1158.57
"10012","Greenwich Village/SoHo","Manhattan",794.375
"10013","Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan",1010.985
"10014","Hudson Square/Meatpacking District/West Village","Manhattan",1087.195
"10016","Kips Bay/Murray Hill/NoMad","Manhattan",1444.09
"10017","East Midtown/Murray Hill","Manhattan",954.91
"10018","Hell's Kitchen/Midtown Manhattan","Manhattan",2203.235
"10019","Hell's Kitchen/Midtown Manhattan","Manhattan",1589.9
"10021","Lenox Hill/Upper East Side","Manhattan",1348.025
"10022","East Midtown","Manhattan",1214.775
"10023","Lincoln Square","Manhattan",1006.225
"10024","Upper West Side","Manhattan",1318.505
"10025","Manhattan Valley/Morningside Heights/Upper West Side","Manhattan",1540.61
"10026","Central Harlem (South)","Manhattan",1782.51
"10027","Central Harlem (South)/Morningside Heights/West Harlem","Manhattan",1728.715
"10028","Upper East Side/Yorkville","Manhattan",1030.41
"10029","East Harlem","Manhattan",2429.56
"10030","Central Harlem (North)","Manhattan",1814.345
"10031","Hamilton Heights/West Harlem","Manhattan",2333.345
"10032","Washington Heights (South)","Manhattan",2649.91
"10033","Washington Heights (North)/Washington Heights (South)","Manhattan",2410.895
"10034","Inwood/Washington Heights (North)","Manhattan",1825.94
"10035","East Harlem","Manhattan",3000.58
"10036","Hell's Kitchen/Midtown Manhattan","Manhattan",1774.05
"10037","Central Harlem (North)/East Harlem","Manhattan",2714.335
"10038","Chinatown/Financial District","Manhattan",1242.745
"10039","Central Harlem (North)/Washington Heights (South)","Manhattan",2131.72
"10040","Washington Heights (North)","Manhattan",2671.38
"10044","Roosevelt Island","Manhattan",2106.785
"10065","Lenox Hill/Upper East Side","Manhattan",1185.42
"10069","Lincoln Square","Manhattan",993.985
"10075","Lenox Hill/Upper East Side","Manhattan",1829.98
"10128","Upper East Side/Yorkville","Manhattan",1097.765
"10280","Battery Park City","Manhattan",592.595
"10282","Battery Park City","Manhattan",1405.145
"10301","Silver Lake/St. George","Staten Island",3146.65
"10302","Elm Park","Staten Island",3515.5
"10303","Graniteville/Mariner's Harbor/Port Ivory","Staten Island",3436.69
"10304","New Dorp/Todt Hill","Staten Island",3425.31
"10305","Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island",3053.265
"10306","Lighthouse Hill/Midland Beach/New Dorp/Oakwood","Staten Island",2808.015
"10307","Tottenville","Staten Island",2606.055
"10308","Great Kills","Staten Island",2267.565
"10309","Charleston/Prince's Bay/Woodrow","Staten Island",2649.6
"10310","Port Richmond/Randall Manor/West Brighton","Staten Island",3102.095
"10312","Annadale/Rossville","Staten Island",2625.015
